cle_unique;emplacement_source;datetime_ingestion;privacy_level;entreprise;date;review_titre;status_employe;lieu;recommande;commentaire;avantage;incovenient
338815725854348702584761649021942740535;13809-AVIS-SOC-GLASSDOOR-E413452_P1.html;2021-03-21 17:31:12;0;Transdev;Aug 26, 2019; Avis ;Ancien employé - Employé anonyme;NULL;Ne recommande pas;J'ai travaillé chez Transdev à temps plein;Proche de chez moi, bien desservi;Explications pas explicite du travail à faire
272511476790072274772939544750108611357;13809-AVIS-SOC-GLASSDOOR-E413452_P1.html;2021-03-21 17:31:12;0;Transdev;Aug 21, 2019; Entreprise en pleine mutation qui se modernise ;Ancien employé - Fonction Support;Issy;Recommande;J'ai travaillé chez Transdev à temps plein plus de 5 ans;Bon CE, collègues sympas, super cantine et siège moderne;Une entreprise qui a eu beaucoup de changement de gouvernance, certains "anciens" sont un peu négatifs
209863536892212833912264349320797336842;13809-AVIS-SOC-GLASSDOOR-E413452_P1.html;2021-03-21 17:31:12;0;Transdev;Aug 6, 2019; Domaine formateur ;Ancien employé - Assistante RH;NULL;Ne recommande pas;J'ai travaillé chez Transdev à temps plein plus d'un an;Domaine formateur : Variété des missions, autonomie, variété des personnalités à gérer;Domaine d'activité peu rémunérateur plus de formation en management à prévoir
243696687839781505489513028885918949939;13809-AVIS-SOC-GLASSDOOR-E413452_P1.html;2021-03-21 17:31:12;0;Transdev;Jul 31, 2019; pas terrible ;Employé actuel - Employé anonyme;NULL;Ne recommande pas;Je travaille chez Transdev à temps plein depuis plus de 10 ans;Prime de fin d'année;Tous le reste aucune considération
83123689326879401404374033936730596740;13809-AVIS-SOC-GLASSDOOR-E413452_P1.html;2021-03-21 17:31:12;0;Transdev;Jul 25, 2019; Transdev ;Ancien employé - Employé anonyme;NULL;Recommande;J'ai travaillé chez Transdev à temps plein plus d'un an;13éme mois, chèque vacances, chèque culture, Bon CE.  Bons d’achat cadeaux noël, etc...;Un problème de management
135184780734920442982964036261982622326;13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html;2021-03-21 17:31:13;0;Artefact;Jan 3, 2019; Excellente entreprise. ;Employé actuel - Chef De Projet;Paris;Recommande;Je travaille chez Artefact à temps plein depuis plus d'un an;carte restaurants Chèques cadeaux salle de sport formations Remboursement des frais de transport Comité d'entreprise Télétravail Flexibilité et aménagement des horaires;Pas assez de suivi managériale
185077720626703697729077184730520340592;13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html;2021-03-21 17:31:13;0;Artefact;Dec 31, 2018; Entreprise dynamique et formatrice ;Employé actuel - Data Scientist;Paris;Recommande;Je travaille chez Artefact à temps plein depuis plus d'un an;Missions diverses, partage de la connaissance et formations. Beaucoup d'événements de cohésion.;Pas d’avantages pour les employés
204157770122207012716869036048865247466;13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html;2021-03-21 17:31:13;0;Artefact;Dec 20, 2018; Excitant ;Employé actuel - Employé anonyme;NULL;Recommande;Je travaille chez Artefact à temps plein;Travailler au sein d'un Groupe en pleine structuration est motivant et ultra stimulant. La Hapiness Manager fait tout pour que les salariés se sentent bien au travail et c'est un succès.;Le niveau d'exigence professionnelle est élevé
30807052412102603663164277427696354614;13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html;2021-03-21 17:31:13;0;Artefact;Dec 5, 2018; Enthousiaste ! ;Employé actuel - Employé anonyme;Paris;Recommande;Je travaille chez Artefact à temps plein depuis moins d'un an;Super état d'esprit, dynamisme, enrichissement, flexibilité, rapidité, exigence positive;Depuis que j'ai commencé, pas grand chose à signaler
224082609445929817797025585794651670248;13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html;2021-03-21 17:31:13;0;Artefact;Nov 20, 2018; Bien pour apprendre ;Employé actuel - Data Scientist;Paris;Recommande;Je travaille chez Artefact à temps plein depuis plus d'un an;- Salaires - Formation - Happiness - Diversité des missions;Pas d’avantages pour les employés
