cle_unique;emplacement_source;datetime_ingestion;privacy_level;nom_entreprise;site_web;taille;date_fondation;secteur;revenu;type_entreprise
214462648067601225877287195880112082125;13771-INFO-SOC-GLASSDOOR-E1125581_P1.html;2021-03-21 11:49:25;0;Adthink-Media; 8;www.adthink-media.com;De 51 à 200 employés; 2001; Inconnu; Entre 1 et 5 millions € (EUR) par an; Inconnu
330176726028674471378579377456765976295;13712-INFO-SOC-GLASSDOOR-E3041003_P1.html;2021-03-21 11:49:25;0;Crédit Agricole d'Aquitaine; 2;www.credit-agricole.fr;De 1 001 à 5 000 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise cotée en bourse
59316260584882152635092013908284512216;13727-INFO-SOC-GLASSDOOR-E1261010_P1.html;2021-03-21 11:49:25;0;Mixt Composites Recyclables; 1;www.m-c-r.com;Inconnu; Inconnu; Inconnu; Ne sait pas / non applicable par an; Inconnu
62016793548553923404328440733435631949;13758-INFO-SOC-GLASSDOOR-E5694_P1.html;2021-03-21 11:49:25;0;OpenText; 1,7k;www.opentext.com;Plus de 10 000 employés; 1992; Solutions logicielles et réseau d'entreprise; Entre 2 et 5 milliards € (EUR) par an; Entreprise cotée en bourse (OTEX) 
269426976329229805169218435302995531802;13790-INFO-SOC-GLASSDOOR-E9028_P1.html;2021-03-21 11:49:25;0;Gfi Informatique; 463;www.gfi.world;Plus de 10 000 employés; 1995; Services informatiques; Entre 1 et 2 milliards € (EUR) par an; Entreprise cotée en bourse
264298128288165961420330244307715270364;13762-INFO-SOC-GLASSDOOR-E253138_P1.html;2021-03-21 11:49:26;0;Artefact Group; 22;www.artefactgroup.com;De 51 à 200 employés; 2006; Conseils; Entre 10 et 25 millions € (EUR) par an; Entreprise non cotée en bourse
84003646074850925352478595472520509960;13546-INFO-SOC-GLASSDOOR-E12966_P1.html;2021-03-21 11:49:26;0;Devoteam; 512;https://fr.devoteamcareers.com/fr/;De 1 001 à 5 000 employés; 1995; Services informatiques; Entre 100 et 500 millions € (EUR) par an; Entreprise cotée en bourse
86267965603545789221858835994121406508;13792-INFO-SOC-GLASSDOOR-E33451_P1.html;2021-03-21 11:49:26;0;GFI Software; 57;www.gfi.com;De 51 à 200 employés; 1992; Matériel et logiciels informatiques; Ne sait pas / non applicable; Entreprise non cotée en bourse
240519803683246192023128039591027597378;13604-INFO-SOC-GLASSDOOR-E37990_P1.html;2021-03-21 11:49:26;0;Volvo Cars; 138;www.volvocars.com;Plus de 10 000 employés; 1927; Fabrication industrielle; Ne sait pas / non applicable; Entreprise non cotée en bourse
70987966683699125937861500543111531830;13612-INFO-SOC-GLASSDOOR-E845851_P1.html;2021-03-21 11:49:26;0;Feu Vert; 17;www.feuvert.fr;De 1 001 à 5 000 employés; 1972; Magasins de pièces automobiles et accessoires; Moins d&#039;1 million € (EUR) par an; Entreprise non cotée en bourse
